"","state","pollster","n","population","mode","start.date","end.date","biden","trump","undecided","other","begin","end","t","two_party_sum","polltype","n_respondents","n_biden","p_biden","n_trump","p_trump"
"271","--","RMG Research",1200,"Registered Voters","Other","2020-05-14","2020-05-16",43,39,0,3,2020-05-14,2020-05-16,2020-05-15,82,"Registered Voters",1200,516,0.524390243902439,468,0.475609756097561
"272","--","Optimus",780,"Likely Voters","Other","2020-05-09","2020-05-16",52,41,0,NA,2020-05-09,2020-05-16,2020-05-12,93,"Likely Voters",780,406,0.559139784946237,320,0.440860215053763
"273","--","The Harris Poll",1708,"Likely Voters","Other","2020-05-13","2020-05-14",53,47,0,NA,2020-05-13,2020-05-14,2020-05-13,100,"Likely Voters",1708,905,0.53,803,0.47
"274","--","The Harris Poll",1854,"Registered Voters","Other","2020-05-13","2020-05-14",53,47,0,NA,2020-05-13,2020-05-14,2020-05-13,100,"Registered Voters",1854,983,0.53,871,0.47
"275","CO","Global Strategy Group",800,"Registered Voters","Other","2020-05-07","2020-05-11",53,40,0,NA,2020-05-07,2020-05-11,2020-05-09,93,"Registered Voters",800,424,0.56989247311828,320,0.43010752688172
"276","GA","BK Strategies",700,"Likely Voters","Live phone component","2020-05-11","2020-05-13",46,48,0,NA,2020-05-11,2020-05-13,2020-05-12,94,"Likely Voters",700,322,0.48936170212766,336,0.51063829787234
"277","NC","East Carolina University",1111,"Registered Voters","Other","2020-05-07","2020-05-09",43,46,0,NA,2020-05-07,2020-05-09,2020-05-08,89,"Registered Voters",1111,478,0.48314606741573,511,0.51685393258427
"278","--","Data for Progress",795,"Registered Voters","Other","2020-05-05","2020-05-05",50,44,0,NA,2020-05-05,2020-05-05,2020-05-05,94,"Registered Voters",795,398,0.531914893617021,350,0.468085106382979
"279","--","Data for Progress",895,"Registered Voters","Other","2020-04-28","2020-04-28",52,43,0,NA,2020-04-28,2020-04-28,2020-04-28,95,"Registered Voters",895,465,0.547368421052632,385,0.452631578947368
"280","--","Data for Progress",860,"Registered Voters","Other","2020-04-21","2020-04-21",49,44,0,NA,2020-04-21,2020-04-21,2020-04-21,93,"Registered Voters",860,421,0.526881720430108,378,0.473118279569892
"281","--","Data for Progress",802,"Registered Voters","Other","2020-04-14","2020-04-14",49,45,0,NA,2020-04-14,2020-04-14,2020-04-14,94,"Registered Voters",802,393,0.521276595744681,361,0.478723404255319
"282","FL","Florida Atlantic University",928,"Registered Voters","Other","2020-05-08","2020-05-12",53,47,0,NA,2020-05-08,2020-05-12,2020-05-10,100,"Registered Voters",928,492,0.53,436,0.47
"283","--","Optimus",728,"Likely Voters","Other","2020-05-05","2020-05-12",52,43,0,NA,2020-05-05,2020-05-12,2020-05-08,95,"Likely Voters",728,379,0.547368421052632,313,0.452631578947368
"284","NJ","Rutgers University",1364,"Registered Voters","Live phone component","2020-04-22","2020-05-02",56,33,7,6,2020-04-22,2020-05-02,2020-04-27,89,"Registered Voters",1364,764,0.629213483146067,450,0.370786516853933
"285","--","YouGov",1175,"Registered Voters","Other","2020-05-10","2020-05-12",47,43,5,4,2020-05-10,2020-05-12,2020-05-11,90,"Registered Voters",1175,552,0.522222222222222,505,0.477777777777778
"286","--","SSRS",1001,"Registered Voters","Live phone component","2020-05-07","2020-05-10",51,46,1,1,2020-05-07,2020-05-10,2020-05-08,97,"Registered Voters",1001,511,0.525773195876289,460,0.474226804123711
"287","GA","POS",500,"Likely Voters","Live phone component","2020-05-04","2020-05-07",47,46,5,NA,2020-05-04,2020-05-07,2020-05-05,93,"Likely Voters",500,235,0.505376344086022,230,0.494623655913978
"288","--","Ipsos",973,"Registered Voters","Other","2020-05-11","2020-05-12",46,38,0,NA,2020-05-11,2020-05-12,2020-05-11,84,"Registered Voters",973,448,0.547619047619048,370,0.452380952380952
"289","WI","Marquette University Law School",811,"Registered Voters","Live phone component","2020-05-03","2020-05-07",46,43,4,4,2020-05-03,2020-05-07,2020-05-05,89,"Registered Voters",811,373,0.51685393258427,349,0.48314606741573
"290","--","Morning Consult",27754,"Registered Voters","Other","2020-05-04","2020-05-10",52,45,0,NA,2020-05-04,2020-05-10,2020-05-07,97,"Registered Voters",27754,14432,0.536082474226804,12489,0.463917525773196
"291","--","Redfield",1500,"Likely Voters","Other","2020-05-08","2020-05-09",52,44,0,2,2020-05-08,2020-05-09,2020-05-08,96,"Likely Voters",1500,780,0.541666666666667,660,0.458333333333333
"292","--","RMG Research",1200,"Registered Voters","Other","2020-05-07","2020-05-09",44,38,0,NA,2020-05-07,2020-05-09,2020-05-08,82,"Registered Voters",1200,528,0.536585365853659,456,0.463414634146341
"293","--","Optimus",726,"Likely Voters","Other","2020-05-02","2020-05-09",50,45,0,NA,2020-05-02,2020-05-09,2020-05-05,95,"Likely Voters",726,363,0.526315789473684,327,0.473684210526316
"294","--","YouGov",1224,"Registered Voters","Other","2020-05-04","2020-05-05",45,42,6,5,2020-05-04,2020-05-05,2020-05-04,87,"Registered Voters",1224,551,0.517241379310345,514,0.482758620689655
"295","--","Optimus",758,"Likely Voters","Other","2020-04-28","2020-05-05",51,45,0,NA,2020-04-28,2020-05-05,2020-05-01,96,"Likely Voters",758,387,0.53125,341,0.46875
"296","MA","University of Massachusetts Lowell",1000,"Registered Voters","Live phone component","2020-04-27","2020-05-01",58,30,4,7,2020-04-27,2020-05-01,2020-04-29,88,"Registered Voters",1000,580,0.659090909090909,300,0.340909090909091
"297","CT","Quinnipiac University",945,"Registered Voters","Live phone component","2020-04-30","2020-05-04",56,33,1,2,2020-04-30,2020-05-04,2020-05-02,89,"Registered Voters",945,529,0.629213483146067,312,0.370786516853933
"298","NJ","Quinnipiac University",941,"Registered Voters","Live phone component","2020-04-30","2020-05-04",54,35,1,2,2020-04-30,2020-05-04,2020-05-02,89,"Registered Voters",941,508,0.606741573033708,329,0.393258426966292
"299","NY","Quinnipiac University",915,"Registered Voters","Live phone component","2020-04-30","2020-05-04",55,32,2,3,2020-04-30,2020-05-04,2020-05-02,87,"Registered Voters",915,503,0.632183908045977,293,0.367816091954023
"300","NV","ALG Research",763,"Likely Voters","Other","2020-04-27","2020-04-30",49,45,0,NA,2020-04-27,2020-04-30,2020-04-28,94,"Likely Voters",763,374,0.521276595744681,343,0.478723404255319
"301","--","YouGov",1209,"Registered Voters","Other","2020-05-03","2020-05-05",46,42,3,5,2020-05-03,2020-05-05,2020-05-04,88,"Registered Voters",1209,556,0.522727272727273,508,0.477272727272727
"302","CO","Keating Research",600,"Likely Voters","Other","2020-05-01","2020-05-03",55,35,0,NA,2020-05-01,2020-05-03,2020-05-02,90,"Likely Voters",600,330,0.611111111111111,210,0.388888888888889
"303","--","Monmouth",739,"Registered Voters","Live phone component","2020-04-30","2020-05-04",47,40,6,6,2020-04-30,2020-05-04,2020-05-02,87,"Registered Voters",739,347,0.540229885057471,296,0.459770114942529
"304","--","Civiqs",1546,"Adults","Other","2020-05-02","2020-05-05",47,44,0,NA,2020-05-02,2020-05-05,2020-05-03,91,"Adults",1546,727,0.516483516483517,680,0.483516483516484
"305","--","Change Research",1489,"Registered Voters","Other","2020-05-01","2020-05-03",47,44,0,NA,2020-05-01,2020-05-03,2020-05-02,91,"Registered Voters",1489,700,0.516483516483517,655,0.483516483516484
"306","--","Ipsos",1015,"Registered Voters","Other","2020-05-04","2020-05-05",43,41,0,NA,2020-05-04,2020-05-05,2020-05-04,84,"Registered Voters",1015,436,0.511904761904762,416,0.488095238095238
"307","NC","Civiqs",1362,"Registered Voters","Other","2020-05-02","2020-05-04",49,48,0,NA,2020-05-02,2020-05-04,2020-05-03,97,"Registered Voters",1362,667,0.505154639175258,654,0.494845360824742
"308","--","RMG Research",1200,"Registered Voters","Other","2020-04-30","2020-05-02",46,39,0,NA,2020-04-30,2020-05-02,2020-05-01,85,"Registered Voters",1200,552,0.541176470588235,468,0.458823529411765
"309","MT","Montana State University Bozeman",549,"Likely Voters","Other","2020-04-10","2020-04-27",40,45,0,NA,2020-04-10,2020-04-27,2020-04-18,85,"Likely Voters",549,220,0.470588235294118,247,0.529411764705882
"310","CO","Montana State University Bozeman",380,"Likely Voters","Other","2020-04-10","2020-04-27",53,35,0,NA,2020-04-10,2020-04-27,2020-04-18,88,"Likely Voters",380,201,0.602272727272727,133,0.397727272727273
"311","--","Morning Consult",31117,"Registered Voters","Other","2020-04-27","2020-05-03",46,42,0,NA,2020-04-27,2020-05-03,2020-04-30,88,"Registered Voters",31117,14314,0.522727272727273,13069,0.477272727272727
"312","--","Optimus",765,"Likely Voters","Other","2020-04-25","2020-05-02",50,45,0,NA,2020-04-25,2020-05-02,2020-04-28,95,"Likely Voters",765,382,0.526315789473684,344,0.473684210526316
"313","IA","Public Policy Polling",1222,"Registered Voters","Other","2020-04-30","2020-05-01",46,48,0,NA,2020-04-30,2020-05-01,2020-04-30,94,"Registered Voters",1222,562,0.48936170212766,587,0.51063829787234
"314","--","YouGov",1671,"Likely Voters","Other","2020-04-28","2020-05-01",49,43,0,NA,2020-04-28,2020-05-01,2020-04-29,92,"Likely Voters",1671,819,0.532608695652174,719,0.467391304347826
"315","TX","University of Texas at Tyler",1183,"Registered Voters","Live phone component","2020-04-18","2020-04-27",43,43,0,NA,2020-04-18,2020-04-27,2020-04-22,86,"Registered Voters",1183,509,0.5,509,0.5
"316","PA","Harper Polling",644,"Likely Voters","Other","2020-04-21","2020-04-26",49,43,9,NA,2020-04-21,2020-04-26,2020-04-23,92,"Likely Voters",644,316,0.532608695652174,277,0.467391304347826
"317","--","IBD",948,"Registered Voters","Other","2020-04-26","2020-04-28",43,43,0,NA,2020-04-26,2020-04-28,2020-04-27,86,"Registered Voters",948,408,0.5,408,0.5
"318","GA","Cygnal",604,"Likely Voters","Live phone component","2020-04-25","2020-04-27",44,45,0,NA,2020-04-25,2020-04-27,2020-04-26,89,"Likely Voters",604,266,0.49438202247191,272,0.50561797752809
"319","MI","Public Policy Polling",1270,"Registered Voters","Other","2020-04-28","2020-04-29",50,42,0,NA,2020-04-28,2020-04-29,2020-04-28,92,"Registered Voters",1270,635,0.543478260869565,533,0.456521739130435
"320","--","Optimus",766,"Likely Voters","Other","2020-04-21","2020-04-28",49,45,0,NA,2020-04-21,2020-04-28,2020-04-24,94,"Likely Voters",766,375,0.521276595744681,345,0.478723404255319
"321","--","Ipsos",1876,"Registered Voters","Other","2020-04-27","2020-04-29",45,39,0,NA,2020-04-27,2020-04-29,2020-04-28,84,"Registered Voters",1876,844,0.535714285714286,732,0.464285714285714
"322","TX","Public Policy Polling",1032,"Registered Voters","Other","2020-04-27","2020-04-28",47,46,0,NA,2020-04-27,2020-04-28,2020-04-27,93,"Registered Voters",1032,485,0.505376344086022,475,0.494623655913978
"323","--","YouGov",1222,"Registered Voters","Other","2020-04-26","2020-04-28",47,41,6,4,2020-04-26,2020-04-28,2020-04-27,88,"Registered Voters",1222,574,0.534090909090909,501,0.465909090909091
"324","NH","Saint Anselm College",820,"Registered Voters","Other","2020-04-23","2020-04-27",50,42,2,7,2020-04-23,2020-04-27,2020-04-25,92,"Registered Voters",820,410,0.543478260869565,344,0.456521739130435
"325","UT","RMG Research",964,"Registered Voters","Other","2020-04-15","2020-04-21",32,51,0,NA,2020-04-15,2020-04-21,2020-04-18,83,"Registered Voters",964,308,0.385542168674699,492,0.614457831325301
"326","NC","Garin",800,"Likely Voters","Other","2020-04-13","2020-04-18",48,45,0,NA,2020-04-13,2020-04-18,2020-04-15,93,"Likely Voters",800,384,0.516129032258065,360,0.483870967741935
"327","--","Ipsos",1001,"Registered Voters","Other","2020-04-26","2020-04-28",44,40,0,NA,2020-04-26,2020-04-28,2020-04-27,84,"Registered Voters",1001,440,0.523809523809524,400,0.476190476190476
"328","NC","SurveyUSA",580,"Likely Voters","Other","2020-04-23","2020-04-26",50,45,5,NA,2020-04-23,2020-04-26,2020-04-24,95,"Likely Voters",580,290,0.526315789473684,261,0.473684210526316
"329","--","RMG Research",1200,"Registered Voters","Other","2020-04-23","2020-04-25",46,38,9,6,2020-04-23,2020-04-25,2020-04-24,84,"Registered Voters",1200,552,0.547619047619048,456,0.452380952380952
"330","--","Morning Consult",30560,"Registered Voters","Other","2020-04-20","2020-04-26",46,42,0,NA,2020-04-20,2020-04-26,2020-04-23,88,"Registered Voters",30560,14058,0.522727272727273,12835,0.477272727272727
"331","--","Suffolk University",1000,"Registered Voters","Live phone component","2020-04-21","2020-04-25",44,38,8,8,2020-04-21,2020-04-25,2020-04-23,82,"Registered Voters",1000,440,0.536585365853659,380,0.463414634146341
"332","OH","Baldwin Wallace University",797,"Registered Voters","Other","2020-04-20","2020-04-25",45,44,11,NA,2020-04-20,2020-04-25,2020-04-22,89,"Registered Voters",797,359,0.50561797752809,351,0.49438202247191
"333","--","Optimus",748,"Likely Voters","Other","2020-04-18","2020-04-25",52,44,0,NA,2020-04-18,2020-04-25,2020-04-21,96,"Likely Voters",748,389,0.541666666666667,329,0.458333333333333
"334","NY","Siena College",803,"Registered Voters","Live phone component","2020-04-19","2020-04-23",65,29,6,NA,2020-04-19,2020-04-23,2020-04-21,94,"Registered Voters",803,522,0.691489361702128,233,0.308510638297872
"335","--","Fordham University",800,"Registered Voters","Other","2020-04-16","2020-04-20",56,42,0,NA,2020-04-16,2020-04-20,2020-04-18,98,"Registered Voters",800,448,0.571428571428571,336,0.428571428571429
"336","--","Climate Nexus",1917,"Registered Voters","Other","2020-04-19","2020-04-19",49,40,10,NA,2020-04-19,2020-04-19,2020-04-19,89,"Registered Voters",1917,939,0.550561797752809,767,0.449438202247191
"337","TX","YouGov",1200,"Registered Voters","Other","2020-04-10","2020-04-19",44,49,0,7,2020-04-10,2020-04-19,2020-04-14,93,"Registered Voters",1200,528,0.473118279569892,588,0.526881720430108
"338","--","Redfield",1500,"Likely Voters","Other","2020-04-21","2020-04-21",54,44,0,NA,2020-04-21,2020-04-21,2020-04-21,98,"Likely Voters",1500,810,0.551020408163265,660,0.448979591836735
"339","NM","Public Policy Polling",1009,"Registered Voters","Other","2020-04-20","2020-04-21",52,40,0,NA,2020-04-20,2020-04-21,2020-04-20,92,"Registered Voters",1009,525,0.565217391304348,404,0.434782608695652
"340","PA","Hodas",600,"Likely Voters","Live phone component","2020-04-16","2020-04-18",47,47,0,NA,2020-04-16,2020-04-18,2020-04-17,94,"Likely Voters",600,282,0.5,282,0.5
"341","WI","Hodas",600,"Likely Voters","Live phone component","2020-04-13","2020-04-15",50,45,0,NA,2020-04-13,2020-04-15,2020-04-14,95,"Likely Voters",600,300,0.526315789473684,270,0.473684210526316
"342","MI","Hodas",600,"Likely Voters","Live phone component","2020-04-09","2020-04-11",49,43,0,NA,2020-04-09,2020-04-11,2020-04-10,92,"Likely Voters",600,294,0.532608695652174,258,0.467391304347826
"343","--","Redfield",1500,"Likely Voters","Other","2020-04-23","2020-04-23",52,44,0,4,2020-04-23,2020-04-23,2020-04-23,96,"Likely Voters",1500,780,0.541666666666667,660,0.458333333333333
"344","WI","Public Policy Polling",1415,"Registered Voters","Other","2020-04-20","2020-04-21",50,45,4,NA,2020-04-20,2020-04-21,2020-04-20,95,"Registered Voters",1415,708,0.526315789473684,637,0.473684210526316
"345","PA","Public Policy Polling",1251,"Registered Voters","Other","2020-04-20","2020-04-21",51,44,5,NA,2020-04-20,2020-04-21,2020-04-20,95,"Registered Voters",1251,638,0.536842105263158,550,0.463157894736842
"346","MI","Public Policy Polling",1277,"Registered Voters","Other","2020-04-20","2020-04-21",51,44,5,NA,2020-04-20,2020-04-21,2020-04-20,95,"Registered Voters",1277,651,0.536842105263158,562,0.463157894736842
"347","NC","Public Policy Polling",1275,"Registered Voters","Other","2020-04-20","2020-04-21",49,46,5,NA,2020-04-20,2020-04-21,2020-04-20,95,"Registered Voters",1275,625,0.515789473684211,586,0.484210526315789
"348","--","Optimus",829,"Likely Voters","Other","2020-04-14","2020-04-21",53,44,0,NA,2020-04-14,2020-04-21,2020-04-17,97,"Likely Voters",829,439,0.54639175257732,365,0.45360824742268
"349","PA","Susquehanna Polling",693,"Likely Voters","Live phone component","2020-04-14","2020-04-20",48,42,8,1,2020-04-14,2020-04-20,2020-04-17,90,"Likely Voters",693,333,0.533333333333333,291,0.466666666666667
"350","NJ","Monmouth University",635,"Registered Voters","Live phone component","2020-04-16","2020-04-19",54,38,6,2,2020-04-16,2020-04-19,2020-04-17,92,"Registered Voters",635,343,0.58695652173913,241,0.41304347826087
"351","WI","Ipsos",645,"Registered Voters","Other","2020-04-15","2020-04-20",43,40,0,NA,2020-04-15,2020-04-20,2020-04-17,83,"Registered Voters",645,277,0.518072289156627,258,0.481927710843373
"352","PA","Ipsos",578,"Registered Voters","Other","2020-04-15","2020-04-20",46,40,0,NA,2020-04-15,2020-04-20,2020-04-17,86,"Registered Voters",578,266,0.534883720930233,231,0.465116279069767
"353","MI","Ipsos",612,"Registered Voters","Other","2020-04-15","2020-04-20",46,38,0,NA,2020-04-15,2020-04-20,2020-04-17,84,"Registered Voters",612,282,0.547619047619048,233,0.452380952380952
"354","PA","FOX",803,"Registered Voters","Live phone component","2020-04-18","2020-04-21",50,42,2,2,2020-04-18,2020-04-21,2020-04-19,92,"Registered Voters",803,402,0.543478260869565,337,0.456521739130435
"355","MI","FOX",801,"Registered Voters","Live phone component","2020-04-18","2020-04-21",49,41,1,3,2020-04-18,2020-04-21,2020-04-19,90,"Registered Voters",801,392,0.544444444444444,328,0.455555555555556
"356","--","YouGov",1144,"Registered Voters","Other","2020-04-19","2020-04-21",48,42,5,3,2020-04-19,2020-04-21,2020-04-20,90,"Registered Voters",1144,549,0.533333333333333,480,0.466666666666667
"357","FL","Quinnipiac University",1385,"Registered Voters","Live phone component","2020-04-16","2020-04-20",46,42,7,4,2020-04-16,2020-04-20,2020-04-18,88,"Registered Voters",1385,637,0.522727272727273,582,0.477272727272727
"358","--","Change Research",1178,"Likely Voters","Other","2020-04-17","2020-04-18",48,44,1,6,2020-04-17,2020-04-18,2020-04-17,92,"Likely Voters",1178,565,0.521739130434783,518,0.478260869565217
"359","--","Ipsos",3806,"Registered Voters","Other","2020-04-15","2020-04-21",47,39,0,NA,2020-04-15,2020-04-21,2020-04-18,86,"Registered Voters",3806,1789,0.546511627906977,1484,0.453488372093023
"360","--","Morning Consult",31482,"Registered Voters","Other","2020-04-13","2020-04-19",47,42,0,NA,2020-04-13,2020-04-19,2020-04-16,89,"Registered Voters",31482,14797,0.528089887640449,13222,0.471910112359551
"361","--","Morning Consult",25372,"Registered Voters","Other","2020-04-06","2020-04-12",45,42,0,NA,2020-04-06,2020-04-12,2020-04-09,87,"Registered Voters",25372,11417,0.517241379310345,10656,0.482758620689655
"362","--","RMG Research",1200,"Registered Voters","Other","2020-04-16","2020-04-18",49,40,6,5,2020-04-16,2020-04-18,2020-04-17,89,"Registered Voters",1200,588,0.550561797752809,480,0.449438202247191
"363","--","Optimus",745,"Likely Voters","Other","2020-04-11","2020-04-18",52,44,0,NA,2020-04-11,2020-04-18,2020-04-14,96,"Likely Voters",745,387,0.541666666666667,328,0.458333333333333
"364","MS","Chism Strategies",508,"Likely Voters","Live phone component","2020-04-06","2020-04-09",38,49,7,7,2020-04-06,2020-04-09,2020-04-07,87,"Likely Voters",508,193,0.436781609195402,249,0.563218390804598
"365","WA","EMC Research",427,"Registered Voters","Other","2020-03-31","2020-04-06",52,39,9,NA,2020-03-31,2020-04-06,2020-04-03,91,"Registered Voters",427,222,0.571428571428571,167,0.428571428571429
"366","--","NBC News",900,"Registered Voters","Live phone component","2020-04-13","2020-04-15",49,42,4,5,2020-04-13,2020-04-15,2020-04-14,91,"Registered Voters",900,441,0.538461538461538,378,0.461538461538462
"367","IN","Change Research",1021,"Likely Voters","Other","2020-04-10","2020-04-13",39,52,3,5,2020-04-10,2020-04-13,2020-04-11,91,"Likely Voters",1021,398,0.428571428571429,531,0.571428571428571
"368","--","The Harris Poll",1675,"Likely Voters","Other","2020-04-14","2020-04-16",53,47,0,NA,2020-04-14,2020-04-16,2020-04-15,100,"Likely Voters",1675,888,0.53,787,0.47
"369","--","The Harris Poll",2394,"Registered Voters","Other","2020-04-14","2020-04-16",54,46,0,NA,2020-04-14,2020-04-16,2020-04-15,100,"Registered Voters",2394,1293,0.54,1101,0.46
"370","FL","St Pete Polls",5659,"Registered Voters","Other","2020-04-14","2020-04-17",48.3,47.5,4.2,NA,2020-04-14,2020-04-17,2020-04-15,95.8,"Registered Voters",5659,2733,0.504175365344468,2688,0.495824634655532
"371","--","Morning Consult",1992,"Registered Voters","Other","2020-04-14","2020-04-16",46,42,0,1,2020-04-14,2020-04-16,2020-04-15,88,"Registered Voters",1992,916,0.522727272727273,837,0.477272727272727
"372","NC","Public Policy Polling",1318,"Registered Voters","Other","2020-04-14","2020-04-15",48,47,0,NA,2020-04-14,2020-04-15,2020-04-14,95,"Registered Voters",1318,633,0.505263157894737,619,0.494736842105263
"373","--","Change Research",1349,"Likely Voters","Other","2020-04-13","2020-04-15",50,40,0,NA,2020-04-13,2020-04-15,2020-04-14,90,"Likely Voters",1349,674,0.555555555555556,540,0.444444444444444
"374","--","Optimus",732,"Likely Voters","Other","2020-04-07","2020-04-14",54,42,0,NA,2020-04-07,2020-04-14,2020-04-10,96,"Likely Voters",732,395,0.5625,307,0.4375
"375","--","Pew Research Center",4125,"Registered Voters","Other","2020-04-08","2020-04-12",47,45,0,NA,2020-04-08,2020-04-12,2020-04-10,92,"Registered Voters",4125,1939,0.510869565217391,1856,0.489130434782609
"376","NC","Harper Polling",500,"Likely Voters","Live phone component","2020-04-05","2020-04-07",42,49,9,NA,2020-04-05,2020-04-07,2020-04-06,91,"Likely Voters",500,210,0.461538461538462,245,0.538461538461538
"377","--","YouGov",1166,"Registered Voters","Other","2020-04-12","2020-04-14",48,43,0,NA,2020-04-12,2020-04-14,2020-04-13,91,"Registered Voters",1166,560,0.527472527472527,501,0.472527472527473
"378","--","Civiqs",1600,"Adults","Other","2020-04-11","2020-04-14",48,44,0,NA,2020-04-11,2020-04-14,2020-04-12,92,"Adults",1600,768,0.521739130434783,704,0.478260869565217
"379","--","Ipsos",937,"Registered Voters","Other","2020-04-13","2020-04-14",45,40,0,NA,2020-04-13,2020-04-14,2020-04-13,85,"Registered Voters",937,422,0.529411764705882,375,0.470588235294118
"380","--","Optimus",814,"Likely Voters","Other","2020-04-04","2020-04-10",52.8,43.3,0,NA,2020-04-04,2020-04-10,2020-04-07,96.1,"Likely Voters",814,430,0.54942767950052,352,0.45057232049948
"381","AZ","OH Predictive Insights",600,"Likely Voters","Live phone component","2020-04-07","2020-04-08",52,43,0,NA,2020-04-07,2020-04-08,2020-04-07,95,"Likely Voters",600,312,0.547368421052632,258,0.452631578947368
"382","MI","Garin",303,"Likely Voters","Other","2020-04-06","2020-04-08",50,41,0,NA,2020-04-06,2020-04-08,2020-04-07,91,"Likely Voters",303,152,0.549450549450549,124,0.450549450549451
"383","WI","Garin",301,"Likely Voters","Other","2020-04-06","2020-04-08",48,47,0,NA,2020-04-06,2020-04-08,2020-04-07,95,"Likely Voters",301,144,0.505263157894737,141,0.494736842105263
"384","VA","Virginia Commonwealth University",663,"Likely Voters","Live phone component","2020-03-25","2020-04-08",51,41,0,NA,2020-03-25,2020-04-08,2020-04-01,92,"Likely Voters",663,338,0.554347826086957,272,0.445652173913043
"385","--","Ipsos",959,"Registered Voters","Other","2020-04-06","2020-04-07",43,37,0,NA,2020-04-06,2020-04-07,2020-04-06,80,"Registered Voters",959,412,0.5375,355,0.4625
"386","--","YouGov",1139,"Registered Voters","Other","2020-04-06","2020-04-07",49,40,0,NA,2020-04-06,2020-04-07,2020-04-06,89,"Registered Voters",1139,558,0.550561797752809,456,0.449438202247191
"387","--","YouGov",1147,"Registered Voters","Other","2020-04-05","2020-04-07",48,42,0,NA,2020-04-05,2020-04-07,2020-04-06,90,"Registered Voters",1147,551,0.533333333333333,482,0.466666666666667
"388","--","FOX",1107,"Registered Voters","Live phone component","2020-04-05","2020-04-07",42,42,0,NA,2020-04-05,2020-04-07,2020-04-06,84,"Registered Voters",1107,465,0.5,465,0.5
"389","--","Monmouth University",743,"Registered Voters","Live phone component","2020-04-03","2020-04-07",48,44,0,NA,2020-04-03,2020-04-07,2020-04-05,92,"Registered Voters",743,357,0.521739130434783,327,0.478260869565217
"390","--","SSRS",875,"Registered Voters","Live phone component","2020-04-03","2020-04-06",53,42,0,NA,2020-04-03,2020-04-06,2020-04-04,95,"Registered Voters",875,464,0.557894736842105,368,0.442105263157895
"391","--","NBC News",604,"Registered Voters","Live phone component","2020-04-03","2020-04-06",44,39,0,NA,2020-04-03,2020-04-06,2020-04-04,83,"Registered Voters",604,266,0.530120481927711,236,0.469879518072289
"392","--","Quinnipiac University",2077,"Registered Voters","Live phone component","2020-04-02","2020-04-06",49,41,0,NA,2020-04-02,2020-04-06,2020-04-04,90,"Registered Voters",2077,1018,0.544444444444444,852,0.455555555555556
"393","--","Garin",1003,"Registered Voters","Other","2020-04-03","2020-04-05",50,43,0,NA,2020-04-03,2020-04-05,2020-04-04,93,"Registered Voters",1003,502,0.537634408602151,431,0.462365591397849
"394","--","Morning Consult",15493,"Registered Voters","Other","2020-03-30","2020-04-05",46,42,0,NA,2020-03-30,2020-04-05,2020-04-02,88,"Registered Voters",15493,7127,0.522727272727273,6507,0.477272727272727
"395","FL","University of North Florida",3244,"Registered Voters","Other","2020-03-31","2020-04-04",46,40,0,NA,2020-03-31,2020-04-04,2020-04-02,86,"Registered Voters",3244,1492,0.534883720930233,1298,0.465116279069767
"396","--","Optimus",937,"Likely Voters","Other","2020-03-28","2020-04-04",50.2,43.8,0,NA,2020-03-28,2020-04-04,2020-03-31,94,"Likely Voters",937,470,0.534042553191489,410,0.465957446808511
"397","--","Research Co",1000,"Adults","Other","2020-03-04","2020-04-03",45,40,0,NA,2020-03-04,2020-04-03,2020-03-19,85,"Adults",1000,450,0.529411764705882,400,0.470588235294118
"398","--","Change Research",1200,"Likely Voters","Other","2020-02-04","2020-04-03",43,45,0,NA,2020-02-04,2020-04-03,2020-03-04,88,"Likely Voters",1200,516,0.488636363636364,540,0.511363636363636
"399","CT","Sacred Heart University",1000,"Adults","Live phone component","2020-03-24","2020-04-03",47.3,34.1,0,NA,2020-03-24,2020-04-03,2020-03-29,81.4,"Adults",1000,473,0.581081081081081,341,0.418918918918919
"400","MI","Public Policy Polling",1019,"Registered Voters","Other","2020-03-31","2020-04-01",48,45,0,NA,2020-03-31,2020-04-01,2020-03-31,93,"Registered Voters",1019,489,0.516129032258065,459,0.483870967741935
"401","GA","Battleground Connect",1035,"Likely Voters","Live phone component","2020-03-31","2020-04-01",46,48,0,NA,2020-03-31,2020-04-01,2020-03-31,94,"Likely Voters",1035,476,0.48936170212766,497,0.51063829787234
"402","MI","Spry Strategies",602,"Likely Voters","Other","2020-03-30","2020-04-01",45.81,46.12,0,NA,2020-03-30,2020-04-01,2020-03-31,91.93,"Likely Voters",602,276,0.498313934515392,278,0.501686065484608
"403","--","IBD",980,"Registered Voters","Other","2020-03-29","2020-04-01",47,41,0,NA,2020-03-29,2020-04-01,2020-03-30,88,"Registered Voters",980,461,0.534090909090909,402,0.465909090909091
"404","--","Ipsos",930,"Registered Voters","Other","2020-03-30","2020-03-31",46,40,0,NA,2020-03-30,2020-03-31,2020-03-30,86,"Registered Voters",930,428,0.534883720930233,372,0.465116279069767
"405","--","YouGov",1194,"Registered Voters","Other","2020-03-29","2020-03-31",46,42,0,NA,2020-03-29,2020-03-31,2020-03-30,88,"Registered Voters",1194,549,0.522727272727273,501,0.477272727272727
"406","--","Selzer",777,"Likely Voters","Live phone component","2020-03-27","2020-03-30",47,43,0,NA,2020-03-27,2020-03-30,2020-03-28,90,"Likely Voters",777,365,0.522222222222222,334,0.477777777777778
